Title,Developer,Publisher,First released,JP,EU,NA
AFL Live Premiership Edition,IR Gurus,Acclaim Entertainment,2004-04-29AU,,✔AU,
AFL Premiership 2005: The Official Game of the AFL Premiership,IR Gurus,SCE AustraliaAU,2005-09-22AU,,✔AU,
AFL Premiership 2006,IR Gurus,SCE AustraliaAU,2006-07-20AU,,✔AU,
AFL Premiership 2007,IR Gurus,SCE AustraliaAU,2007-06-28AU,,✔AU,
After...,Pionesoft,Pionesoft,2004-02-26JP,✔,,
Agassi Tennis Generation,Aqua Pacific,DreamCatcher Interactive,2003-08-25NA,,✔,✔
Age of Empires II: The Age of Kings,Ensemble Studios,Konami,2001-11-02EU,✔,✔,
Agent Hugo,ITE Media,ITE Media,2005-10-12PAL,,✔,
Agent Hugo: Hula Holiday,Attractive Games,NDS Software,2008-10-06RU,,✔,
Agent Hugo: Lemoon Twist,Coyote Console,ITE Media,2007-11-05PAL,,✔,
Agent Hugo: Roborumble,ITE Media,ITE Media,2006-10-06PAL,,✔,
Aggressive Inline,Z-Axis,AKA Acclaim,2002-05-28NA,,✔,✔
AI Igo 2003,GeneX,GeneX,2003-04-24JP,✔,,
AI Mahjong 2003,GeneX,GeneX,2003-04-24JP,✔,,
AI Shogi 2003,GeneX,GeneX,2003-04-24JP,✔,,
Ai Yori Aoshi,KID,KID,2003-03-20JP,✔,,
Aikagi,NEC Interchannel,NEC Interchannel,2003-09-25JP,✔,,
Air,NEC Interchannel,NEC Interchannel,2002-08-08JP,✔,,
Air Raid 3,Phoenix Games,Phoenix Games,2004PAL,,✔,
Air Ranger: Rescue Helicopter,ASK,ASKJP Midas Interactive EntertainmentEU,2001-03-29JP,✔,✔,
Air Ranger 2: Rescue Helicopter,ASK,ASK,2002-03-28JP,✔,,
Air Ranger 2 Plus: Rescue Helicopter,ASK,ASK,2003-10-30JP,✔,,
AirBlade,Criterion Games,Namco,2001-11-09EU,,✔,✔
"Airborne Troops: Countdown to D-Day
•Airborne TroopsPAL",WideScreen Games,Mud Duck Productions,2005-01-07NA,,✔,✔
"Airforce Delta Strike
•Deadly Skies IIIPAL
•Airforce Delta: Blue Wing KnightsJP",KCE Studios,Konami,2004-02-03NA,✔,✔,✔
"The Aka-Champion
•Simple 2000 Series Vol. 94: The Aka-Champion – Come On BabyJP
•Come On Baby!KO",Expotato,"D3 Publisher, SCE KoreaKO",2005-12-29JP,"✔JP, KO",,
"Akagi: Yami ni Furitatta Tensai
•Simple 2000 Ultimate Series Vol. 19: AkagiJP",Warashi,D3 Publisher,2002-12-12JP,✔,,
Akai Ito,Success Corporation,Success Corporation,2004-10-21JP,✔,,
Akane Iro ni Somaru Saka: Parallel,Feng,GN Software,2008-08-14JP,✔,,
Akira Psycho Ball,KAZe,Bandai,2002-02-17PAL,✔,✔,
Akudaikan,Global A,Global A,2002-08-08JP,✔,,
Akudaikan 2: Mousouden,Global A,Global A,2003-07-31JP,✔,,
Akudaikan 3,Global A,Global A,2007-03-01JP,✔,,
Alan Hansen's Sports Challenge,The Code Monkeys,Oxygen Interactive,2007-10-26PAL,,✔,
"Alarm for Cobra 11 Vol. 2: Hot Pursuit
•Alarm fuer Cobra 11 Vol IIDE",Davilex,Midas Interactive Entertainment,2005-06-10EU,,✔,
"Alex Ferguson's Player Manager 2001
•DSF Fußball Manager 2002DE
•Guy Roux Manager 2002FR",Anco Software,"3DO, Ubisoft",2001-09-21PAL,,✔,
"Alfa Romeo Racing Italiano
•S.C.A.R.: Squadra Corse Alfa RomeoEU",Milestone,Valcon Games,2005-06-24EU,,✔,✔
Alias,Acclaim Studios Cheltenham,Acclaim Entertainment,2004-04-05NA,,✔,✔
Alien Hominid,The Behemoth,"O3 Entertainment, Zoo Digital PublishingEU",2004-11-21NA,,✔,✔
Aliens in the Attic,Revistronic,Playlogic,2009-08-04AU,,✔AU,✔
Aliens Versus Predator: Extinction,Zono,Electronic Arts,2003-07-30NA,,✔,✔
"All Star Fighters
•Simple 2000 Series Vol. 91: The All Star KakutouJP",D3 Publisher,"D3 PublisherJP, Essential GamesPAL",2005-12-15JP,✔JP,✔,
All Star Pro-Wrestling,Square,Square,2000-06-08JP,✔,,
All Star Pro-Wrestling II,Square,Square,2001-11-22JP,✔,,
All Star Pro-Wrestling III,Square,Square,2003-08-07JP,✔,,
All-Star Baseball 2002,Acclaim Studios Austin,Acclaim Entertainment,2001-03-12NA,✔,✔,✔
All-Star Baseball 2003,Acclaim Studios Austin,Acclaim Entertainment,2002-02-26NA,✔,✔,✔
All-Star Baseball 2004,Acclaim Studios Austin,Acclaim Entertainment,2003-03-01NA,,✔,✔
All-Star Baseball 2005,Acclaim Studios Austin,Acclaim Entertainment,2004-04-08NA,,,✔
Alone in the Dark,Hydravision Entertainment,Atari,2008-06-20EU,,✔,✔
Alone in the Dark: The New Nightmare,Spiral House,Infogrames,2001-09-28PAL,,✔,
Alpine Racer 3,Namco,"NamcoJP, Sony Computer EntertainmentEU",2002-03-28JP,✔,✔,
Alpine Ski Racing 2007,49Games,"RTL Playtainment
JoWooD Productions",2006-12-04PAL,,✔,
Alpine Skiing 2005,49Games,"RTL Playtainment
Midas Interactive Entertainment",2005-06-10PAL,,✔,
Alter Echo,Outrage Games,THQ,2003-08-19NA,,✔,✔
"Altered Beast
•Jyuouki: Project Altered BeastJP, KO",Wow Entertainment,Sega,"2005-01-27JP, KO","✔JP, KO",✔,
Alvin and the Chipmunks,Brash Entertainment,Brash Entertainment,2007-12-04NA,,✔,✔
Amagami,Enterbrain,Enterbrain,2009-03-19JP,✔,,
Amagoushi no Yakata,Fog,Nippon Ichi Software,2007-03-08JP,✔,,
America Oudan Ultra-Quiz,DigiCube,DigiCube,2002-03-28JP,✔,,
American Chopper,Creat Studio,"Activision Value, Zoo Digital PublishingEU",2004-11-25NA,,✔,✔
American Chopper 2: Full Throttle,Creat Studio,"Activision, Zoo Digital PublishingEU, Activision ValueAU",2005-11-20NA,,✔,✔
"American Idol
•Pop IdolEU",Hothouse Creations,Codemasters,2003-11-07EU,,✔,✔
American Pool II,Phoenix Games,Phoenix Games,2007-03-09PAL,,✔,
"AMF Xtreme Bowling
•AMF Xtreme Bowling 2006EU",Mud Duck Productions,"Mud Duck Productions, MastertronicEU",2006-06-13NA,,✔,✔
Amplitude,Harmonix Music Systems,Sony Computer Entertainment,2003-03-24NA,,✔,✔
An American Tail,Data Design Interactive,Blast! Entertainment Ltd,2007-07-12AU,,✔,
AND 1 Streetball,Black Ops Entertainment,Ubisoft,2006-06-06NA,,✔,✔
Angel Profile,GeneX,CyberFront,2007-09-27JP,✔,,
